Name,Sand,Silt,Clay,Rock,Organic,BulkDensity,Ksat,KsatLateral,AirEntry,ThetaSat,Campbells,BrooksCoreyPoreSize,ThetaResidual,BrooksCoreyPoreConnectivity,nVanGenuchten,vanGenuchtenPoreConnectivity,alphaVanGenuchten
,SAND,SILT,CLAY,ROCK,OM,RHOB,SATCON,SATKL,SOILWRC(1),SOILWRC(2),SOILWRC(3),SOILWRC(3),SOILWRC(4),SOILWRC(5),SOILWRC(3),SOILWRC(5),SOILWRC(6)
,all,all,all,all,all,all,all,all,all,all,if IWRC = 1,If IWRC = 2,"If IWRC = 2, 3",If IWRC = 2,If IWRC = 3,If IWRC = 3,If IWRC = 3
,percent,percent,percent,percent,percent,kg/m3,cm/hr,cm/hr,m,-,-,-,-,-,-,-,m^-1
liveMoss,10,10,10,10,60,50,1,1,0,0.8,,,0.067,,1.41,0.5,0.02
deadMoss,10,10,10,10,60,100,1,1,0,0.5,,,0.067,,1.41,0.5,0.02
litterSoil,10,10,10,10,60,200,1,1,0,0.5,,,0.067,,1.41,0.5,0.02
SiltLoam1,13.4,78.1,8.5,30,8.5,530,42.3,0,0,0.48,,,0.048,,1.33,0.46,0.52
SiltLoam2,16.1,70,13.9,30,2.6,1117,28.3,0,0,0.46,,,0.118,,1.35,0.46,1.53
SiltLoam3,22.6,67.8,9.6,30,1.7,1280,4.47,0,0,0.27,,,0.084,,1.31,0.46,2.58
,"[0.0, 100.0]","[0.0, 100.0]","[0.0, 100.0]","[0.0, 100.0]","[0.0, 100.0]","[0.0, inf)","[0.0, inf)","[0.0, inf)",,,,,,,,,
